"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Page count","Cited by","DOI","Link","Document Type","Publication Stage","Open Access","Source","EID"
"Leite J.F.; Dantas C.; Dimenstein M.; de Freitas Oliveira A.B.; Macedo J.P.","Leite, Jáder Ferreira (14067759400); Dantas, Candida (36522577400); Dimenstein, Magda (14066946600); de Freitas Oliveira, Antonimária Bandeira (58132575600); Macedo, João Paulo (54881208400)","14067759400; 36522577400; 14066946600; 58132575600; 54881208400","Poverty, Gender Relations, and Women’s Autonomy in the Brazilian Rural Environment","2019","Psychosocial Implications of Poverty: Diversities and Resistances","","","","149","160","11","1","10.1007/978-3-030-24292-3_11","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85124342611&doi=10.1007%2f978-3-030-24292-3_11&partnerID=40&md5=e7996e6fb4df53ace0e56c91352d3e7c","Book chapter","Final","","Scopus","2-s2.0-85124342611"
"Justino D.C.P.; Costa K.T.D.S.; De Andrade F.B.","Justino, Dayane Caroliny Pereira (57221797279); Costa, Ketyllem Tayanne Da Silva (57221798438); De Andrade, Fábia Barbosa (36131259100)","57221797279; 57221798438; 36131259100","Epidemiological profile of female firearm-related mortality","2021","Medicine (United States)","100","2","","E24222","","","1","10.1097/MD.0000000000024222","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85100227130&doi=10.1097%2fMD.0000000000024222&partnerID=40&md5=6f1975f4b3481695625603cc9149bacc","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85100227130"
"de Souza Mareco T.C.; de Moura Santos Lima T.G.F.; Ramos M.N.P.; dos Santos M.M.; da Silva J.A.; Priamo V.; de Brito C.M.G.; dos Santos Pereira E.D.; de Oliveira C.A.P.; Cortez L.R.; de Andrade I.G.M.; de Almeida M.C.D.; de Medeiros Valentim R.A.","de Souza Mareco, Thereza Cristina (57222547209); de Moura Santos Lima, Thaísa Gois Faria (58621792300); Ramos, Maria Natália Pereira (57203972027); dos Santos, Marquiony Marques (56717204100); da Silva, José Adailton (57824689500); Priamo, Vania (58621701600); de Brito, Cintia Michele Gondim (57202264489); dos Santos Pereira, Esdras Daniel (57804107900); de Oliveira, Carlos Alberto Pereira (57221863744); Cortez, Lyane Ramalho (57205525111); de Andrade, Ion Garcia Mascarenhas (57248097400); de Almeida, Milena Cristina Duarte (58621980500); de Medeiros Valentim, Ricardo Alexsandro (26321565600)","57222547209; 58621792300; 57203972027; 56717204100; 57824689500; 58621701600; 57202264489; 57804107900; 57221863744; 57205525111; 57248097400; 58621980500; 26321565600","Analyzing a national health surveillance strategy to reduce mother-to-child transmission of syphilis: The case of Brazilian investigation committees","2023","IJID Regions","8","","","164","171","7","0","10.1016/j.ijregi.2023.07.008","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85172446139&doi=10.1016%2fj.ijregi.2023.07.008&partnerID=40&md5=500a2ef2246075531dd8b8af651f42d4","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85172446139"
"Arruda Sanchez T.; Ramos L.R.; Araujo F.; Schenberg E.E.; Yonamine M.; Lobo I.; de Araujo D.B.; Luna L.E.","Arruda Sanchez, Tiago (57118177800); Ramos, Lucas Rego (58335894800); Araujo, Felipe (58746635100); Schenberg, Eduardo Ekman (9243997900); Yonamine, Mauricio (6701353320); Lobo, Isabela (54684416300); de Araujo, Draulio Barros (6701820375); Luna, Luis Eduardo (7004870843)","57118177800; 58335894800; 58746635100; 9243997900; 6701353320; 54684416300; 6701820375; 7004870843","Emotion regulation effects of Ayahuasca in experienced subjects during implicit aversive stimulation: An fMRI study","2024","Journal of Ethnopharmacology","320","","117430","","","","1","10.1016/j.jep.2023.117430","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85178664866&doi=10.1016%2fj.jep.2023.117430&partnerID=40&md5=c6c1789967d16f5bf16cdd6181867e5e","Article","Final","","Scopus","2-s2.0-85178664866"
"Alcaide M.; Garcia O.F.; Queiroz P.; Garcia F.","Alcaide, Marta (57376350300); Garcia, Oscar F. (56709274700); Queiroz, Pablo (55347237700); Garcia, Fernando (8914429100)","57376350300; 56709274700; 55347237700; 8914429100","Adjustment and maladjustment to later life: Evidence about early experiences in the family","2023","Frontiers in Psychology","14","","1059458","","","","14","10.3389/fpsyg.2023.1059458","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85150269954&doi=10.3389%2ffpsyg.2023.1059458&partnerID=40&md5=d2da2a2ef9fb20a30adb313622373b1f","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85150269954"
"Queiroz J.F.; Aquino A.C.Q.; Sarmento A.C.A.; Siqueira B.B.; Medeiros H.D.; Falsetta M.L.; Maurer T.; Gonçalves A.K.","Queiroz, Janice F. (57193222646); Aquino, Antonio C.Q. (57196390843); Sarmento, Ayane C.A. (57203535360); Siqueira, Beatriz B. (59199832900); Medeiros, Heitor D. (58846547500); Falsetta, Megan L. (15729522400); Maurer, Tracey (58775748800); Gonçalves, Ana Katherine (15750764600)","57193222646; 57196390843; 57203535360; 59199832900; 58846547500; 15729522400; 58775748800; 15750764600","Psychosocial Factors Associated with Vulvodynia","2024","Journal of Lower Genital Tract Disease","28","3","","264","275","11","0","10.1097/LGT.0000000000000822","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85197343431&doi=10.1097%2fLGT.0000000000000822&partnerID=40&md5=19d958f03e97373ccccf469c2b10d24d","Article","Final","","Scopus","2-s2.0-85197343431"
"Cazeiro F.; Leite J.F.; Costa A.J.D.","Cazeiro, Felipe (57201057475); Leite, Jáder Ferreira (14067759400); Costa, Andrei Junior da (58297188800)","57201057475; 14067759400; 58297188800","For an HIV Decolonization and intersectionalization of AIDS responses; [Por uma decolonização do HIV e interseccionalização das respostas à aids]","2023","Physis","33","","e33024","","","","0","10.1590/S0103-7331202333024.en","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85160687694&doi=10.1590%2fS0103-7331202333024.en&partnerID=40&md5=7af7c94a50d5a371638963dcac49cd48","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85160687694"
"Gimbo L.; Cardoso M.","Gimbo, Leda (57201057130); Cardoso, Monique (59125983500)","57201057130; 59125983500","Maybe the wolf is a more docile animal: caravan theater and combating violence against women; [Talvez o lobo seja um bicho mais dócil: teatro em caravana e o enfrentamento a violências contra mulheres]; [Quizás el lobo sea un animal más dócil: teatro de caravanas y lucha contra la violencia contra las mujeres]","2024","Urdimento","1","50","","","","","0","10.5965/1414573101502024e0107","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85193011439&doi=10.5965%2f1414573101502024e0107&partnerID=40&md5=e897e34d473a82837a0e708c20f426f6","Article","Final","","Scopus","2-s2.0-85193011439"
"Duarte F.H.S.; Silva S.O.; Enders B.C.; Lira A.L.B.C.; Dantas R.A.N.; Dantas D.V.","Duarte, Fernando Hiago da Silva (57190283953); Silva, Silmara de Oliveira (57938427200); Enders, Bertha Cruz (7005706596); Lira, Ana Luisa Brandão de Carvalho (16047410700); Dantas, Rodrigo Assis Neves (55368852500); Dantas, Daniele Vieira (55368301200)","57190283953; 57938427200; 7005706596; 16047410700; 55368852500; 55368301200","Early diagnosis of HIV/aids infection: concept analysis; [Diagnóstico precoce da infecção por HIV/Aids: análise de conceito]; [Diagnóstico precoz de la infección por VIH/SIDA: análisis de concepto]","2023","Revista Brasileira de Enfermagem","76","3","e20220565","","","","1","10.1590/0034-7167-2022-0565","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85167462059&doi=10.1590%2f0034-7167-2022-0565&partnerID=40&md5=515a6bafe16b0689e9a42c5639212bad","Review","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85167462059"
"de Oliveira N.P.D.; de Camargo Cancela M.; Martins L.F.L.; de Souza D.L.B.","de Oliveira, Nayara Priscila Dantas (57191582765); de Camargo Cancela, Marianna (35767759300); Martins, Luís Felipe Leite (33767861300); de Souza, Dyego Leandro Bezerra (57222094997)","57191582765; 35767759300; 33767861300; 57222094997","A multilevel assessment of the social determinants associated with the late stage diagnosis of breast cancer","2021","Scientific Reports","11","1","2712","","","","12","10.1038/s41598-021-82047-0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85100258773&doi=10.1038%2fs41598-021-82047-0&partnerID=40&md5=e817b3a2dbf746f92361e2be26542318","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85100258773"
"Monteiro M.N.; Medeiros K.S.; Vidal I.; Matias I.; Cobucci R.N.; Goncalves A.K.","Monteiro, Michelly Nóbrega (57193221361); Medeiros, Kleyton Santos (57209417755); Vidal, Iaponira (57211116424); Matias, Ivete (57211116458); Cobucci, Ricardo Ney (54884828100); Goncalves, Ana Katherine (15750764600)","57193221361; 57209417755; 57211116424; 57211116458; 54884828100; 15750764600","Non-pharmacological interventions for treating sexual dysfunction in postpartum women: A systematic review protocol","2019","BMJ Open","9","9","e028660","","","","3","10.1136/bmjopen-2018-028660","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85072697385&doi=10.1136%2fbmjopen-2018-028660&partnerID=40&md5=709e5cf630c88e492b2d757fb170596a","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85072697385"
"Velez M.P.; Rosendaal N.; Alvarado B.; da Câmara S.; Belanger E.; Pirkle C.M.","Velez, M.P. (36027142200); Rosendaal, N. (56427928300); Alvarado, B. (6603251447); da Câmara, S. (57204716623); Belanger, E. (25653012200); Pirkle, C.M. (19934137900)","36027142200; 56427928300; 6603251447; 57204716623; 25653012200; 19934137900","Data on the association between age at natural menopause and physical function in older women from the International Mobility in Aging Study (IMIAS)","2019","Data in Brief","23","","103811","","","","6","10.1016/j.dib.2019.103811","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85063054892&doi=10.1016%2fj.dib.2019.103811&partnerID=40&md5=f4ccd48279f82370aeea5d7d9a13671c","Data paper","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85063054892"
"Nóbrega V.K.M.; Pessoa Júnior J.M.; Nascimento E.G.C.D.; Miranda F.A.N.","Nóbrega, Vannucia Karla de Medeiros (57210373721); Pessoa Júnior, João Mário (56072629800); Nascimento, Ellany Gurgel Cosme do (57218830055); Miranda, Francisco Arnoldo Nunes de (39762537100)","57210373721; 56072629800; 57218830055; 39762537100","Resignation, violence and filing complaint: social representations of the male aggressor from the perspective of the female victim of aggression; [Renúncia, violência e denúncia: representações sociais do homem agressor sob a ótica da mulher agredida]","2019","Ciencia & saude coletiva","24","7","","2659","2666","7","3","10.1590/1413-81232018247.16342017","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85070517905&doi=10.1590%2f1413-81232018247.16342017&partnerID=40&md5=579a0b804aa415cfcd89951ccd7b7168","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85070517905"
"da Silva Duarte F.H.; de Araújo N.M.; de Oliveira Silva S.; Leal N.T.B.; de Souza Costa T.M.; de Alencar I.G.M.; Dantas R.A.N.; Dantas D.V.","da Silva Duarte, Fernando Hiago (57832789300); de Araújo, Naryllenne Maciel (57223096373); de Oliveira Silva, Silmara (57938427200); Leal, Nahadja Tahaynara Barros (57938374100); de Souza Costa, Thatiane Monick (57191853576); de Alencar, Isabele Gouveia Muniz (58733144800); Dantas, Rodrigo Assis Neves (55368852500); Dantas, Daniele Vieira (55368301200)","57832789300; 57223096373; 57938427200; 57938374100; 57191853576; 58733144800; 55368852500; 55368301200","Content validation of an audiovisual resource for people living with HIV; [Validação do conteúdo de um recurso audiovisual para pessoas vivendo com HIV]; [Validación del contenido de un recurso audiovisual para personas que viven con el VIH]","2024","ACTA Paulista de Enfermagem","37","","eAPE01361","","","","0","10.37689/ACTA-APE/2024AO0013611","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85178295013&doi=10.37689%2fACTA-APE%2f2024AO0013611&partnerID=40&md5=c09476293dde273170df1b22d7592772","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85178295013"
"Lucas M.C.V.; Böschemeier A.G.E.; de Souza E.C.F.","Lucas, Márcia Cavalcanti Vinhas (57207815670); Böschemeier, Ana Gretel Echazú (57202042771); de Souza, Elizabethe Cristina Fagundes (24491798700)","57207815670; 57202042771; 24491798700","On the present and future of the HIV/Aids epidemic: combination prevention in question; [Sobre o presente e o futuro da epidemia HIV/Aids: a prevenção combinada em questão]","2023","Physis","33","","e33053","","","","0","10.1590/S0103-7331202333053","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85160748567&doi=10.1590%2fS0103-7331202333053&partnerID=40&md5=ee96053730ddaca1c7857123dd6d92a3","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85160748567"
"Silva P.Y.F.; da Cruz M.C.L.; Azevedo I.G.; Moreira R.S.; Sousa K.G.; Pereira S.A.","Silva, Pedro Ykaro Fialho (58197487100); da Cruz, Maria Clara Lima (58197185500); Azevedo, Ingrid Guerra (35315297600); Moreira, Rafaela Silva (55850954400); Sousa, Klayton Galante (57212182734); Pereira, Silvana Alves (56105903000)","58197487100; 58197185500; 35315297600; 55850954400; 57212182734; 56105903000","Risk of Global Developmental Delay in Infants Born from Mothers with COVID-19: A Cross-Sectional Study","2023","International Journal of Women's Health","15","","","467","474","7","4","10.2147/IJWH.S389291","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85153617130&doi=10.2147%2fIJWH.S389291&partnerID=40&md5=1932616c389a1071c7bf9388b6b3338e","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85153617130"
"Hwang P.W.; dos Santos Gomes C.; Auais M.; Braun K.L.; Guralnik J.M.; Pirkle C.M.","Hwang, Phoebe W. (57189103963); dos Santos Gomes, Cristiano (57204269015); Auais, Mohammad (55438169400); Braun, Kathryn L. (7103287615); Guralnik, Jack M. (36048591800); Pirkle, Catherine M. (19934137900)","57189103963; 57204269015; 55438169400; 7103287615; 36048591800; 19934137900","Economic Adversity Transitions From Childhood to Older Adulthood Are Differentially Associated With Later-Life Physical Performance Measures in Men and Women in Middle and High-Income Sites","2019","Journal of Aging and Health","31","3","","509","527","18","5","10.1177/0898264317736846","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85056689548&doi=10.1177%2f0898264317736846&partnerID=40&md5=c501d182919831741bae84bed52d314e","Article","Final","All Open Access; Green Open Access","Scopus","2-s2.0-85056689548"
"Dantas E.S.O.; Meira K.C.; Bredemeier J.; Amorim K.P.C.","Dantas, Eder Samuel Oliveira (57213189602); Meira, Karina Cardoso (23473751000); Bredemeier, Juliana (21734430100); Amorim, Karla Patrícia Cardoso (22957138100)","57213189602; 23473751000; 21734430100; 22957138100","Suicide among women in Brazil: a necessary discussion from a gender perspective; [Suicídio de mulheres no Brasil: necessária discussão sob a perspectiva de gênero]","2023","Ciencia e Saude Coletiva","28","5","","1469","1477","8","2","10.1590/1413-81232023285.16212022EN","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85159475782&doi=10.1590%2f1413-81232023285.16212022EN&partnerID=40&md5=4cec90a195b7dd623c78b2f753828f17","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85159475782"
"Fernandes De Souza Barbosa J.; Dos Santos Gomes C.; Costa J.V.; Ahmed T.; Zunzunegui M.V.; Curcio C.-L.; Gomez F.; Guerra R.O.","Fernandes De Souza Barbosa, J. (57214877936); Dos Santos Gomes, C. (57204269015); Costa, J. Vilton (23670160500); Ahmed, T. (57072650300); Zunzunegui, M.V. (7003934654); Curcio, C.-L. (25031339400); Gomez, F. (19734073700); Guerra, R. Oliveira (57202408396)","57214877936; 57204269015; 23670160500; 57072650300; 7003934654; 25031339400; 19734073700; 57202408396","Abdominal obesity and mobility disability in older adults: A 4-year follow-up of the international mobility in aging study","2018","Journal of Nutrition, Health and Aging","22","10","","1228","1237","9","11","10.1007/s12603-018-1100-y","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85053452461&doi=10.1007%2fs12603-018-1100-y&partnerID=40&md5=22ea5675dba34a777bf7f3b2e18336bc","Article","Final","","Scopus","2-s2.0-85053452461"
"Silva L.G.; Péres A.F.S.; Freitas D.L.D.; Morais C.L.M.; Martin F.L.; Crispim J.C.O.; Lima K.M.G.","Silva, Lidiane G. (57219962159); Péres, Ana F. S. (57219963347); Freitas, Daniel L. D. (57210126879); Morais, Camilo L. M. (57190219188); Martin, Francis L. (55441090600); Crispim, Janaina C. O. (23049473600); Lima, Kassio M. G. (56052429800)","57219962159; 57219963347; 57210126879; 57190219188; 55441090600; 23049473600; 56052429800","ATR-FTIR spectroscopy in blood plasma combined with multivariate analysis to detect HIV infection in pregnant women","2020","Scientific Reports","10","1","20156","","","","26","10.1038/s41598-020-77378-3","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85096340338&doi=10.1038%2fs41598-020-77378-3&partnerID=40&md5=9364487cbc846557650aab89f633e42d","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85096340338"
"de Assunção Gaia M.; Botelho E.P.; Ferreira G.R.O.N.; Aben-Athar C.Y.U.P.; Parente A.T.; de Jesus Dias de Sousa F.; dos Santos M.S.; Pereira-Caldeira N.M.V.; da Silva R.A.R.; Ramos A.M.P.C.","de Assunção Gaia, Melyane (58686513700); Botelho, Eliã Pinheiro (57211540618); Ferreira, Glenda Roberta Oliveira Naiff (57220717245); Aben-Athar, Cintia Yolette Urbano Pauxis (57194384074); Parente, Andressa Tavares (57626613800); de Jesus Dias de Sousa, Fabianne (57224086649); dos Santos, Marielna Silva (58686339300); Pereira-Caldeira, Natalia Maria Vieira (57211018135); da Silva, Richardson Augusto Rosendo (57214510689); Ramos, Aline Maria Pereira Cruz (57212037296)","58686513700; 57211540618; 57220717245; 57194384074; 57626613800; 57224086649; 58686339300; 57211018135; 57214510689; 57212037296","LEARNHIV: development and validation of a mobile application for primary health care nurses focused on HIV care/prevention","2023","BMC Nursing","22","1","419","","","","0","10.1186/s12912-023-01579-0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85176125105&doi=10.1186%2fs12912-023-01579-0&partnerID=40&md5=95c0099d260147a87c7ae1c6a48f6e8b","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85176125105"
